name,type,address,phone,email,latitude,longitude
“İNTERNATİONAL 2” TİBB MƏRKƏZİ,CLINIC,"Bakı şəh., Aşıq Molla Cümə küç., 11B",+99(412)-566-55-74,,40.403734419038116,49.86412378381387
“KAMED-TM” MMC,CLINIC,"Sumqayıt şəh., AZ5000, S.Bədəlbəyli küç, 64",(+994 55) 3740202;,,40.572211063304266,49.67653195498385
“LİMAN GROUP” MMC,CLINIC,"Sumqayıt şəh., Səməd Vurğun küç 35A",+99(412)-448-06-00,,40.58063964562373,49.689972839640106
“MEDEKS” (MEDİLAND) TIBB MƏRKƏZİ,CLINIC,Bakı şəh. Sabit Orucov küç. 57,+99(412) 488-74-15,,40.38078333445074,49.87278205907312
“MEDİKAN” TİBB MƏRKƏZİ,CLINIC,"Lənkəran, 20 Yanvar küç. 71",252550298,,38.75473134703769,48.83752028375698
“MEDİKA” HOSPİTAL,CLINIC,"Bakı şəh., N.Tusi küç. 21",+99(412)-379-87-07,,40.3693464623444,49.96259361264874
“MEDİSAN”,CLINIC,"Imişli, H.Əliyev pr, 131",+994(70)-246-10-70,,39.87077556664319,48.06197058332945
“MEDISTYLE” HOSPITAL,CLINIC,"Bakı şəh., Akademik Həsən Əliyev küç 116",+99(451)-979-00-01,,40.40712695323116,49.86325898381405
“MİLANA” HOSPİTAL,CLINIC,"Bakı şəh., Nərimanov rayon, Əhməd Rəcəbli 1\21",+99(412)- 409 90 91,,40.41073410017669,49.86232739915803
“MODERN” HOSPITAL,CLINIC,"Bakı şəh., Babək prospekti, 79",+99(412)-570-20-20(200),,40.395661198491695,49.948065051273616
“MÜASİR DİAQNOSTİKA” KLİNİKASI,CLINIC,"Bakı şəh., Rəşid Behbudov küç 56",+99(412)-910,,40.38286218451713,49.8431940684691
“N.TUSİ” ADINA KLİNİKA MMC,CLINIC,"Bakı şəh., Ş.Zərdabi küç. 53",+99(412)-432-24-16,,40.39800870484129,49.805303095453695
“NATİONAL PRİMEHOSPİTAL” MMC,CLINIC,"Bakı şəh., A.Rəcəbli küç.3, 30",(+99412) 4648787,,40.410794153097314,49.85976344148611
“NƏBZ” TİBB MƏRKƏZİ,CLINIC,"Bakı şəh., Q.Qarayev pr., 31",+99(412)-421-38-55,,40.417842571555724,49.935479026142474
“OKİ” KLİNİKASI,CLINIC,"Qusar şəh., F.Musaev küç. 27",023-38-529-15,,41.425997438248494,48.43074307988621
“OKSIGEN” TIBB MƏRKƏZI MMC,CLINIC,"Bakı şəh., Nərimanov r-nu, 1959-cu məhəllə",+99(412)-906 (311),,40.403725245164075,49.870020304127266
“ÖMÜRDƏN PAY” TİBB MƏRKƏZİ,CLINIC,"Bərdə, Nərimanov küç 2",(02020) 53100,,40.634480199566795,46.9893859198605
“REAL” TIBB MƏRKƏZI,CLINIC,"Bakı şəh., Zahid Xəlilov, 99",+99(412)-537-23-23(305),,40.380780760318146,49.811101492177116
“REAL” TİBB MƏRKƏZİ,CLINIC,"Sumqayıt şəh.., 45- ci məhəllə, 14 saylı bina",+99(412)-447-04-26,,40.580498189259444,49.68096162985623
“REFERANS” MMC,CLINIC,"Bakı şəh., M.Mirqasımov 25A",+994124400033,,40.39565743704328,49.837423035219636
“REFERANS” MMC,CLINIC,"Bakı şəh., Nəsimi ray., M.Məmmədzadə 8A",+994124400033,,40.40046657942085,49.87251569444521
“SAĞLAM AİLƏ” ÖZƏL TİBB MƏRKƏZİ,CLINIC,"Bakı şəh., Əhməd Rəcəbli, küç. 3",+99(412)-510-91-34,,40.4096446723574,49.86200713963411
“SAĞLAM HƏYAT” TİBB MƏRKƏZİ,CLINIC,"Qəbələ, Elçin Kərimov küç 3.",024 205-03-52,,40.97676257988521,47.85339826849019
“Seba Fito Tibb” MMC ( Koreya Şərq Təbabəti Klinikası),CLINIC,"Səbail rayonu, Neftçilər pr, 65",(+994 12) 437-18-10 /437 -18 -25,,40.3603028368815,49.833466797304425
“STİMUL” HOSPİTAL,CLINIC,"Bakı şəh, Yavər Əliyeva, 26 C",+99(412)-565-38-08,,40.43394547081413,49.956367512650985
“SUMQAYIT HOSPİTAL” MMC,CLINIC,"Sumqayıt şəh., 11-ci MKR, Çerkassi küç., 181",(+99418) 6568255,,40.563209936961165,49.68463023963954
“SWISSDENT” MMC STOMATOLOJİ KLİNİKA,CLINIC,"Bakı şəhəri, Yasamal r-nu, Abbas Mirzə Şərifzadə, 34",+994124323200,,40.37463614791304,49.80516723865141
“ŞƏFALI ƏLLƏR” TİBB MƏRKƏZİ,CLINIC,"İmişli şəh., Ağamalıoğlu küç. 31",+994(50) 3348474,,39.862643359251805,48.06739054624311
“ŞƏFA” ÖZƏL TİBB MƏRKƏZİ,CLINIC,"Naxçıvan şəh., İdris Məmmədov küç., 1",(036) 5456432,,39.2167447357,45.4073104934
“ŞƏFA” TİBB MƏRKƏZİ,CLINIC,"Mingəçevir, Xan Şuşinski küç 2A",(024)2753558,,40.75953974916291,47.05464414018688
“SƏHHƏT” AZƏRBAYCAN - ALMANİYA KLİNİKASI,CLINIC,"Bakı şəh., Q.Qaraev küç. 103",+99(412)-370-60-42,,40.39613541371527,49.95398405497759
“TOFİQOĞLU” TİBB MƏRKƏZİ,CLINIC,"Хачмаз, ул. Н.Нариманова 23",023-32-555-93,,41.46136674470209,48.798970210835535
“TÜRK- AMERIKAN” TIBB MƏRKƏZI,CLINIC,"Bakı şəh., Yusif Vəzir Çəmənzəmənli, 18",99(412)-541-58-45,,40.40216376342278,49.834431941485896
“UNİKAL-A” MMC,CLINIC,"Bakı şəh., B.Ağayev küç. 115",+99(412)-510-91-34,,,
“UNİKAL” KLİNİKA,CLINIC,"Sumqayıt şəh., Bakı küç. 37, 44-cü məhəllə",+994(50)285-21-76/86,,40.576221014376884,49.67922101450798
“VİTA MED” MMC,CLINIC,"Biləsuvar r-nu, Mübariz İbrahimov küç, 224B",+994(51)795-00-08,,39.45608663646513,48.54370032528409
“XÜSUSI MÜALICƏ SAĞLAMLIQ KOMPLEKSI” MMC,CLINIC,"Bakı şəh., Badamdar şossesi, 31",+99(412)-493-22-86,,40.353190829885875,49.80931652614015
“YASAMAL HOSPİTAL” MMC,CLINIC,"Bakı ş., Yasamal ray., M. Xiyabani küç., ev 15",(+99412)5650103 ; (+99477)5140111,,,
“YAŞAM” TİBB MƏRKƏZİ,CLINIC,"Baki şəh., F.Хoyski 112",+99(412)-480-08-91,,40.40213180207094,49.860898754977825
”LABMED”,CLINIC,"Qazax r-nu, H.Əliyev pr-ti - 134",0222950552,,41.09355666386067,45.36878736849455
"""Gilas Optic"" 20-ci Sahə",MEDICAL_SERVICE,Səbail r-nu,20-ci sahə dairəsi 39-40 (Bravo-nun yanı); +994 77 489 00 34,,40.330050404799024,49.81835446043662
"""Gilas Optic"" 5 Mərtəbə",MEDICAL_SERVICE,"Yasamal r-nu, Ş. Qurbanov küç., 2 (XİN-in yaxınlığı)",+994 77 489 23 03,,40.3768559305307,49.83258774124706
"""Gilas Optic"" 8 km",MEDICAL_SERVICE,"Nizami r-nu., Cəmşid Naxçıvanski ev.81",+994 77 489 23 05,,40.408363376009675,49.95452200413409
"""Gilas Optic"" Ayna Sultanova",MEDICAL_SERVICE,"Binəqədi r-nu, Atatürk pr. Ev 56 (Ayna Sultanova heykəli)",+994 77 489 99 02,,40.41361393168641,49.8466759944084
"""Gilas Optic"" Badam",MEDICAL_SERVICE,"Səbail r-nu., Abbasqulu Abbaszadə küç.5A (Badam Medical Center ilə üzbəüz)",+994 77 489 09 32,,40.35235539969024,49.81324555250557
"""Gilas Optic"" Bayıl",MEDICAL_SERVICE,"Səbail r-nu, Neftçi Qurban Abbasov ev 24A",+994 77 489 09 01,,40.35005822601335,49.83456557334594
"""Gilas Optic"" Elmlər",MEDICAL_SERVICE,"Yasamal r-nu., K.Kazımzadə 123 məh., 563(Gömrük Hospitalı ilə üzbəüz)",+994 77 489 09 05,,40.37816899387048,49.81846795320228
"""Gilas Optic"" Gənclik",MEDICAL_SERVICE,"Nərimanov r-nu, Fətəlixan Xoyski pr. Ev 106",+994 77489 99 04,,40.40215573657433,49.85995349649492
"""Gilas Optic"" Hövsan",MEDICAL_SERVICE,"Hövsan qəs., İlqar Əhlimanov küç., (H.Əliyev parkının yanı)",+994 77 489 09 31,,40.35714918370714,50.0736835569661
"""Gilas Optic"" Həsən Əliyev",MEDICAL_SERVICE,"Nəsimi r-nu., Həsən Əliyev 9 (Avrasiya Hospitalının yanı)",+994 77 489 23 01,,40.39804967540636,49.82883335312575
"""Gilas Optic"" Rəşid Behbudov",MEDICAL_SERVICE,Nəsimi r-nu,28 May ev 14 (8 №-li məktəblə üzbə-üz); +994 77 489 00 29,,40.37511379090331,49.84603676845729
"""Gilas Optic"" Xalqlar Dostluğu filialı",MEDICAL_SERVICE,"Nizami r-nu, Bəhruz Nuriyev 49, Laçın T.M. Yanı",+994 77 489 09 30,,40.40102164485169,49.95236814148588
