name,type,address,phone,latitude,longitude
Bona Dea International Hospital,CLINIC,"Mehdi Abbasov, Baku 1060",+994 12525 09 00,40.40915725610106,49.86468967552732
Bonum,CLINIC,"Şəki şəhəri, Zərifə Əliyeva küçəsi 90",0506630088,41.15711231024786,47.175883075566034
Caspian İnternational Hospital,CLINIC,"Səbayıl ray., Badamdar, 1-ci yaşayış massivi, 31",(012) 502-50-16,40.34331226010527,49.807657175523936
Celamig Göz Klinikası,CLINIC,Nəsimi ray. Süleyman Rəhimov 126/64,0707389000,40.378228457982516,49.83514467552578
Central Clinic,CLINIC,"Xırdalan şəh.,30-cu məhəllə, ev 14",0507776999,40.45358945339588,49.731531075529595
Citomed Klinikası,CLINIC,"Bakı şəh, Möhsün Sənani 106",0508067696,40.398398656755624,49.83286427552672
CityHospital,CLINIC,"Bakı şəhəri, Y.V.Çəmənzəminli küçəsi 18, AZ1078",(+994 50) 520 03 03,40.401943156539886,49.831431275527024
Dent House,CLINIC,"Mehemmed Hadi, 7",0123757778,40.39190065715094,49.95156057552639
DENTAL GROUP-FAA,CLINIC,"Bakı şəh., Sabunçu ray.,Sülh (Bakıxanov qəs.),ev 2/20",,40.48230295164659,49.83428147553108
Dental Plus,CLINIC,"Xətai ray.,M. Hadi küç.,68B, məh. 2945-46 m. 90A",,40.37495235818178,49.95007747552553
Dental Studio Bakı,CLINIC,"Səbayıl ray., Mehbali Zeynalabdin küç. 6",0125982887,40.379813957886135,49.85360447552581
Dentamed Estetik,CLINIC,"Nərimanov ray., Koroğlu Rəhimov küç., 3A",0502821333,40.395665856921944,49.8570389755266
Diaqnoz Tibb Mərkəzi,CLINIC,"Xətai ray., Sarayevo küç., 15",0123700666,40.38629335749193,49.96096647552615
Dünya Estetik -stomatoloji klinika,CLINIC,"Bakı şəh., Nərimanov ray., Məmməd Araz, ev 27",,40.406030456291205,49.83844347552715
Dünyagöz Hastanesi Bakı,CLINIC,"Səbayıl ray., Bayıl Qəsəbəsi, M.Hüseynov pr.i 39",0124044469,40.34946325973146,49.8330827755241
Dəniz Diş klinikası,CLINIC,"Yasamal ray., Lev Tolstoy küç 137, mən 7",0125965904,40.372585658325654,49.83191917552545
EGE Hospital,CLINIC,"Akademik Həsən Əliyev küçəsi 38, AZ1078 Bakı, Azərbaycan",(+994) 12 599 1117,40.39905249999999,49.83323107852309
Funda Hospital,CLINIC,"Nərimanov rayonu, Hidayətzadə küç. 163",0125662844,40.39417335701263,49.86961527552656
Funda-Stomatologiya,CLINIC,"Nərimanov rayonu, Hidayətzadə küç. 163",0125662844,40.39417335701263,49.86961527552656
German Hospital,CLINIC,"Yasamal ray., İsmayılbəy Qutqaşınlı küç, 50",0554557883,40.369557158509785,49.818474675525316
Gəncə Beynəlxalq Xəstəxanası,CLINIC,"Gəncə şəh., H. Əliyev pr 60D/EF",0555007100,40.69463253867939,46.36352447554201
Happy Smile,CLINIC,"Nəsimi rayonu,Vladislav Plotnikov küç.29",,40.38558625753505,49.84368502552606
Hayat Clinic,CLINIC,"Yasamal ray.,Mətbuat Prospekti 35a",0124041404,40.37756305802307,49.80615807552579
HB Güvən,CLINIC,"Atatürk pr-ti, 1108",(012) 436 14 96,40.416761,49.844457
HN Medical,CLINIC,"Quba şəh., Maksim Qorki küç.",,41.361320447612364,48.520210025576596
HN Medical,CLINIC,"Bakı şəh., Xətai ray., M.Hadi küçəsi 229D",,40.365691907291584,49.95335277870509
HTC Cliniva Hospital,CLINIC,"Bakı şəh., Q. Qarayev pr. 84",0124217777,40.407033956230165,49.94263527552723
Interdent,CLINIC,"Bakı şəh., Xətai ray.,Məhəmməd Hadi, ev 64,m. 48",0552627573,40.38733565742869,49.84401777552618
İnternational Medical Center 1,CLINIC,"Nərimanov ray.,Bəşir Səfəroğlu küç 183.",0125961316,40.3743153582205,49.83569867552553
İnternational Medical Centre 2,CLINIC,"Nəsimi ray.,Aşıq Molla Cümə 11B",+994 70 266 55 74,40.4031295,49.8646034
İsmayıloğlu-Dental,CLINIC,"Bakı şəhəri, Azadlıqpr.3071-ci məh",,40.404820456364895,49.834040575527084
İstanbul NS Klinika,CLINIC,"Nərimanov ray.,Atatürk prospekti 140",012 465 85 00,40.412792255879744,49.84454587552752
Leyla Medical Center,CLINIC,"Bakı, Y.Səfərov küçəsi, 19",(+994 12) 490 18 58,40.382013,49.863402
Leyla Tibb Mərkəzi,CLINIC,İmişli ray. Ağamalıoğlu küç. ev 2B,0124902131,40.38201725775217,49.86082747552597
Liman klinikası,CLINIC,"Sumqayıt şəh., 6-cı mkr, Səməd Vurğun küçəsi, 35A",0186446151,40.58046444565848,49.68741937553599
LOR Hospital,CLINIC,"Bakı şəh., Əhməd Rəcəbli 1/25",0514770111,40.40962745607249,49.860723175527326
MedEra Hospital,CLINIC,Bakı şəh. Əcəmi Naxçıvani 53,(+994 12) 561 03 03,40.416772,49.841159
Medera- Stomatologiya,CLINIC,"Binəqədi ray.,Əcəmi Naxçıvani 53.",0125610303,40.41643865565797,49.838962375527665
Medican Hospital,CLINIC,"Lənkaran şəh, 20 yanvar küç, ev 71",0702550298,38.75457655511949,48.834913175444186
Medika Hospital (Pətək),CLINIC,"Xətai ray.,Nəsrəddin Tusi 244",0123730745,40.36888560000001,49.94359148715821
Medisan Tibb mərkəzi,CLINIC,"İmişli ray.,H.Əliyev pr. 131 (Mədəniyyət evinin yanı)",,39.86171748923324,48.06734697549949
Medistom stomatoloji klinikası,CLINIC,"Bakı, 28 May küçəsi, 16/18",0125981656,40.377091258051685,49.847148275525676
MediStyle Hospital,CLINIC,"Nərimanov ray.,Ak.Həsən Əliyev küç 116.",+994 51 979 00 00,40.40701665623129,49.86065187552712
Milano Hospital,CLINIC,"Nərimanov rayonu, Əhməd Rəcəbli küçəsi 1/21",0124099091,40.41002435604816,49.859426375527406
Milli İdman Tibb və Reabilitasiya İnstitutu,CLINIC,"Nərimanov rayonu, Olimpiya küç.",0125258310,40.39893315672311,49.85289127552672
Modern Hospital,CLINIC,"AZ1119, Babək prospekti 85K, Bakı / Azərbaycan",+994 70 295 09 49,40.395825,49.948795
Müassir Stomatologiya,CLINIC,"Sumqayıt şəh., Nizami küç., 14-21, AZ 5000",,40.59436884480937,49.666962875536775
Məlhəm Beynəlxalq Hospital,CLINIC,Cəmşid Naxçıvanskı küç .433,0512017101,40.40760155619564,49.95212377552726
Mərcan Klinikası,CLINIC,"Bakı şəh., Məmmədcəfər Cəfərov 12",0123108585,40.405471356325435,49.80751777552711
Mərkəzi Gömrük Hospitalı,CLINIC,"Yasamal ray.,K,Kazımzadə küç. 118",(+994 12) 404 08 08,40.37754585802406,49.81647487552575
Mərkəzi Klinik Xəstəxana,CLINIC,"Yasamal ray., Parlament prospekti, 76",+994 (12) 492 10 92,40.3614319,49.81529169357912
Mərkəzi Klinik Xəstəxanası,CLINIC,"Gəncə şəh.,",0222640909,40.6594015408348,46.3361132755402
Mərkəzi Klinika Ambulatoriya,CLINIC,"Səbayıl ray., Zərifə Əliyeva küç. 5,",+994 (12) 492 10 92,40.36867555856345,49.83666487552523
Mərkəzi Klinika Stomatologiya,CLINIC,"Səbayıl ray., Xəqani küç. 90 D",0124924202,40.3767614580716,49.85288167552571
N.Tusi adına Klinika,CLINIC,"Bakı şəh., Nəsimi r-nu.,Zərdabi küç. 53",+994 12 431 35 31,40.398638,49.804649
Nəbz tibb mərkəzi,CLINIC,"Nizami ray.,Qara Qarayev Prospekti 31",0124213855,40.41771595558011,49.93289337552763
OKİ Klinikası,CLINIC,F. Musayev küç. 27,0505971647,41.42577609361394,48.42811467558007
Oksigen Klinik Xəstəxanası,CLINIC,"Nərimanov ray.Təbriz küç., 1959-cu məhəllə",0709060906,40.40364785643616,49.867436875527076
Olimp Hospital,CLINIC,İnşaatçılar prospekti 8-10,0995388800,40.37577125813201,49.81702897552568
Ömürdən pay Klinikası,CLINIC,Bərdə şəhəri N. Nərimanov 2,,40.50266971768785,46.890684114314716
Only Dent MMC,CLINIC,"Bakı şəh., H. Zərdabi pr. mən 70",,40.37987608995059,49.814979692333395
Ortopediya Pediatriya klinikası,CLINIC,"Nərimanov ray.,Atatürk prospekti 140",0707584040,40.4128396,49.84833359999999
Qarabağ Klinik,CLINIC,"Bərdə şəh.,H.Əliyev pr. 124A",0504614000,40.361796358981685,47.12509537552493
Real Tibb Mərkəzi,CLINIC,"Sumqayıt şəh., N. Narimanov küç.,45-ci məh., bina 14",0186424580,40.58032109999999,49.5285371972656
Referans Binəqədi filialı,CLINIC,"Bakı şəh., Binəqədi ray., Azadlıq pr.167",*0033,40.41761505558625,49.833473575527755
Referans Klinik Laboratoriya Mərkəzi & Poliklinik (Mərkəz filialı),CLINIC,"M.Məmmədzadə küç., 8A",0123100022,40.36936258481834,49.811483942326646
Referans Poliklinik Mərdəkan filialı,CLINIC,"Xəzər ray., Mərdəkan qəs., Yesenin küç. 58",*0033,40.48772055131634,50.15190507553124
Referans Poliklinik Nəsimi filialı,CLINIC,"Nəsimi ray., M.Mirqasımov küç. 25 A",0708060033,40.394912256967615,49.8353814755267
Referans Poliklinik Əhmədli filialı,CLINIC,"Xətai ray., M.Hadi küç. 229 D",0706530033,40.38176705776728,49.95166247552597
Referans Qəbələ Tibb Mərkəzi,CLINIC,"Qəbələ ray., Abbas Səhhət küç. 25 A",0773450033,40.96715692195675,47.84071237555608
Respublika Diaqnostika Mərkəzi,CLINIC,"20 Yanvar m/st., Tbilisi prospekti, 147",+994 50 229 81 90,40.393823,49.806635
Sağlam Ailə Medical Center,CLINIC,"Nərimanov ray.,C. Cabbarlı küç 24",,40.38139750758618,49.82956308145148
Sağlam Ailə Medical Center 28 May filialı,CLINIC,Rəşid Behbudov küçəsi 56,0124401300,40.38187034418049,49.84204959898452
"Sağlam Ailə Medical Center Mikrorayon ""Ultralab"" filialı",CLINIC,Asif Məhərrəmov küç.156C,0124401300,40.409699200000006,49.770133974316416
Sağlam Ailə Medical Center Nərimanov filialı,CLINIC,"Əhməd Rəcəbli küçəsi 3,10",0124401300,40.4094608560824,49.85945367552734
Sağlam Diş Stomotoloji Mərkəz Bakıxanov Filialı,CLINIC,"Bakıxanov qəs., S.Qocayev küç.,39A",,40.41686255563213,49.96184937552776
Sağlam Diş Stomotoloji Mərkəz Qarayev Filialı,CLINIC,"Nizami ray., Əlif Hacıyev küç. 15",,40.4153116,49.913429987158224
Sağlam Diş Stomotoloji Mərkəz Yasamal Filialı,CLINIC,"Yasamal ray., Tbilisi pr.49B",0125250050,40.394850956971446,49.814660475526615
Sağlam Təbəssüm,CLINIC,"AZ5500,Şəki şəh.,A. Məmmədov,ev 18A",,41.20683830717566,47.173308175568536
SEBA Fito (Koreya Şərq Təbabəti),CLINIC,"Bakı şəh., Neftçilər pr. 65",,40.360061659087215,49.83089187552471
SNN Medical klinikası,CLINIC,"Yasamal ray., Fuad İbrahimbəyov küç . 12",0552132564,40.374662656946036,49.722994533888155
Starlab Tibb Mərkəzi,CLINIC,"Nəsimi ray.,20 Yanvar küç.9A",0124311314,40.41274855588245,49.80729937552761
Stimul Hospital,CLINIC,"Sabunçu ray. Bakıxanov qəs.,Yavər Əliyev küç 26",0125653838,40.43369415460746,49.95384017552861
SWISS Dent,CLINIC,"Bakı şəh.,Yasamal ray. A.M.Şərifzadə küç. 34.",0998303200,40.37455705820579,49.80282097552555
Səhhət Klinikası (Azərbaycan-Almaniya tibb klinikası),CLINIC,"Nizami ray.,Qara Qarayev Prospekti 125",0124478555,40.396008756901004,49.95138767552662
Tofiqoğlu Tibb Mərkəzi,CLINIC,"Xaçmaz şəh. N.Nərimanov küç,ev 23A",,41.4611343914183,48.796488375581916
Turan Klinikası,CLINIC,"Xətai ray.Əhmədli qəsəbəsi,Sarayevo küç.184.",0123700524,40.38629075749213,49.956654575526215
Türk-American Medical Center,CLINIC,"Nəsimi ray.,Mərdanov qardaşları 52",0502224459,40.401802456548396,49.83091207552695
Unikal klinikası,CLINIC,"Sumqayıt şəh., 5001",0186424655,40.57610284592483,49.676528075535856
Vest Hospital,CLINIC,"Bakı şəh., Binəqədi ray., Şövkət Məmmədova 52",0124047606,40.42497935513809,49.844054975528046
Xüsusi Müalicə Sağlamlıq Kompleksi,CLINIC,"Səbayıl ray., Badamdar Sossesi 31",012 493 81 25,40.35300685951601,49.806730875524465
Yaşam Tibb Mərkəzi,CLINIC,"Nərimanov ray.,Fətəli xan Xoyski 92A",0702734747,40.40200515653618,49.85830237552707
Yeni Gəncə Tibb Mərkəzi,CLINIC,"Gəncə şəh., 28 May küçəsi",0505590303,40.68524673925375,46.32913637554151
Zubar -stomatoloji klinika,CLINIC,"Bakı şəh.,Xətai ray.,Gəncə pr. 29/30,mən. 8",,40.35498175939602,49.95900287552459
“Uni” Klinika,CLINIC,"Bakı, B.Ağayev küçəsi, 115",0503930555,40.377038358054875,49.81587907552574
20 Yanvar,PHARMACY,Zərdabi ilə M.Həsənov küç kəsişməsi 3165 məhəllə,"(012)431-87-00, 055-455-69-51",40.403814663004965,49.80234359952782
5 N-Li,PHARMACY,Fətəli Xan Xoyski pr.,,40.40417528534018,49.86468193871813
Almaz/Xacmaz,PHARMACY,"Xaçmaz rayon N.Nərimanov küç. (""Tofiqoğlu""klinikasinin yanı)","(02)33-25-42-89, (055)-455-85-96",41.457354,48.791083
Aptek 100,PHARMACY,"Bakı şəh., Nizami ray., Qara Qarayev prs 74 H",,40.41157368116934,49.92618260630126
Aptek 5plus,PHARMACY,"Bakı şəh., Yasamal ray., Ş.Qurbanov küç. 2, qapı 4",,40.37619855810598,49.82950417552563
Aran-Biləsuvar,PHARMACY,"Biləsuvar şəh., H.Əliyev küç., ev 40 E",,39.459578046422834,48.54426380732261
Badamdar Poliklinika,PHARMACY,XMSK,(012)-502-41-53,40.34205711018148,49.806821275589066
Bahar Pharma,PHARMACY,"Bakı şəh., Nəsimi ray., Rəşid Behbudov küç., ev 59, mən. 60",,40.380201857862374,49.841346875601545
Balzam,PHARMACY,"Xirdalan şəh., M.Rəsulzadə ev 1, mən.1 (Uşaq poliklinikası və Günay mərasim evinin yanı)","(012)342-47-19, 055-455-81-26",40.46273645014208,49.70914306654437
Darçın Aptek Buta 60,PHARMACY,"M.Qaşqay küç., ev 63a, mən. 1 (Medical Plazanın yax.)",,40.38665105215214,49.80494154136061
Darçın Aptek Buta 87,PHARMACY,H.Abbasov küç. 22 (Lider TV yax.),,40.38656755747533,49.812666475526115
Darçın Aptek Dokta 327,PHARMACY,"Nərimanov ray., F.X.Xoyski pr. ev 130 m. 3",,40.402897456481874,49.86498987552702
Darçın Aptek Zeytun 152,PHARMACY,H.Salmani 1 (Neftçilər xəstəxanasının arxa girişi),,40.41066345513065,49.94104741337318
Darçın Aptek Zeytun 533,PHARMACY,M.Həsənli 15,,40.40723,49.854583000000005
Darçın Aptek,PHARMACY,Şərifzadə 273A-273E (İnşaatçılar metrosunun çıxışı),,40.39092817383974,49.80307519471868
Darçın Aptek (Nail Aptek) Buta,PHARMACY,Binəqədi rayonu C.Ramazanov ev 2 b (Binəqədi mərkəz),,40.47423305213826,49.82076307553068
Darçın Aptek Buta 160,PHARMACY,N.Hikmət küç. ev 24 (Yasamal Asan xidmətin yanı),,40.37899855793578,49.80160067552577
Darçın Aptek Dokta,PHARMACY,"Binəqədi ray., Svetlana Məmmədova ev 201",,40.424720455153754,49.823523875528146
Darçın Aptek Dokta 182,PHARMACY,M.Müşfiq küç. ev 10 m. 44,,40.35664390103735,49.79342157670461
Darçın Aptek Dokta 206,PHARMACY,Darçın Aptek Dokta 206,,40.38020185786242,49.84134687552589
Darçın Aptek Zeytun 323,PHARMACY,N.Yusifbəyli 90 a (Bakı Sağlamlıq Mərkəzi ilə üzbəüz),,40.398748307445,49.838804310597055
Darçın Aptek Zeytun Abşeron 19,PHARMACY,"Xırdalan şəh., H.Əliyev pr. ev c",,40.45971100859673,49.72348489472881
Dərnəgül,PHARMACY,"Binəqədi, Səttar Bəhlulzadə ev.20A, m.17",.,40.415309,49.844603
Enerji,PHARMACY,"Bakı şəh, Nərimanov ray. Xan Şuşinski küç, ev.90G",,40.39339088344395,49.8334419833383
Enterol,PHARMACY,"Baki ş., Xətai ray., M. Hadi küç. 41",,40.37852745796444,49.9425289755258
Enziten,PHARMACY,"Bineqedi ray. H.Huseynov ev 13 (Tergül ticarət mərkəzi ile üzbəüz, Medera hospitalın yanı)","(012)-492-89-78, 055-455-90-61",40.407402,49.811149
Favorit,PHARMACY,"Bakı şəh., Bakıxanov qəs, Sülh küç, 1D",,40.41456615157088,49.95218530325266
Ferromed,PHARMACY,"Q.Qarayev pr-ti ev. 26 menzil 15 (Q.Qarayev metrosunun Ezizbeyov terefden cıxışı ""İrsad Telecom""-un arxası.)","(012)-323-43-64, (055)-455-85-97",40.407367,49.88061
Funda Aptek,PHARMACY,"Bakı şəh., Montin,Hidayətzadə küç. 163",,40.38231095773418,49.841336675525994
General,PHARMACY,"Baki şəhəri.Xətai rayonu.X.Məmmədov ev 32A ( Neptun marketlə üzbəüz ,Sərhədçinin yanı)","(012)-371-77-40, 055-455-81-07",40.37831631548163,49.94080918003141
Gömrük Aptek,PHARMACY,"Yasamal ray., K.Kazımzadə küç. 118",,40.37814435798761,49.80887937552573
Günəbaxan,PHARMACY,"Bakı şəh.,Yasamal ray., F.Ağayev ev 5",,40.38972645728312,49.85304377552635
Güvən,PHARMACY,Baki şəhəri Yeni Yasamal qəs.Ə.Əhmədov4. (Albalı uşaq bağçasının yanı. English schoolun yanı),"(012)-505-82-39, 055-455-56-08",40.393403,49.787797
Gəncə A.S.,PHARMACY,4mkr-n M.Xələfov küç.,"(022)2-65-12-42, 055-455-90-68",40.695685,46.378927
Gəncə/Gönçə,PHARMACY,"Gəncə şəh., Kəpəz r-nu, H.Əliyev pr ilə Atatürk pr. kəsişməsi ""Ailə və Nigah"" tibb mərkəzi və ""Əminə ""marketin yanı.","(022)255-10-39, (055)-455-85-49",40.69445174453152,46.298636976907034
Harmony,PHARMACY,28 May 11 menzil 27 (Dilarə Əliyeva küçəsi 214),"(012)498-67-35, 055-455-90-70",40.379047,49.854259
İmmuno,PHARMACY,İmişli ray.H.Əliyev pr-ti.ev 164A (Kapital Bankla üzbəüz),"(021)-246-12-07, 055-455-90-57",39.865253,48.063277
İşıq,PHARMACY,"Bakı şəh. Bakıxanov qəs., 4081-ci məh. Gənclər küç",,40.443816949352616,49.97594531019071
İzmir,PHARMACY,Baki şəhəri.Yasamal ray.Haqverdiyev ev11 (Kaspar xəstəxanası ilə üzbəüz),"(012)-539-20-52, 055-455-58-16",40.380253,49.812708
Kanon,PHARMACY,"Bakı şəh., Nəsimi ray., A.Mirqasımov 2 (ATU-nin yanı.Nəsimi Rayon icra hakimiyyətinin keçmiş binası.)","(012)449-46-64, (055)-455-85-39",40.394,49.835
Kanon/Lutemax,PHARMACY,"Bakı şəh., Yasamal ray., Şərifzadə küçəsi 100","(012)432-39-93, (055)-455-85-38",40.381715,49.802695
Kanon/Stimol,PHARMACY,"Sumqayıt şəh., 2-ci mkr, Sülh küçəsi (Heydər Əliyev heykəlinin yanı.""Sputnik""t/m ilə üzbəüz)","(018)644-35-83, 055-455-89-00",40.58617186518509,49.670208074186334
Kardio,PHARMACY,"Bakı şəh., Səbail ray., Parlament pr. ev 76",(012)-492-79-19,40.361422,49.822648
Leç.Komissiya,PHARMACY,Z.Əliyeva 5/Azərbaycan 5,,40.36866817571115,49.83699187502834
Lökbatan,PHARMACY,"Qaradağ r-nu, Lökbatan qəsəbəsi, 28 May küç.","012-445-55-73, 055-455-89-10",40.32231747937625,49.73061391505124
Lənkəran,PHARMACY,Nizami küç.,,38.75684935498574,48.84052267544426
Masalli-1,PHARMACY,"Masalli ray., 20 Yanvar küç.,Iskeəndərli dairəsi",,40.420932255384315,49.727914775527985
Medical,PHARMACY,"Baki şəhəri., Nərimanov ray., M.Əlizadə və Ə.Rəcəbli paralel küç.",,40.4092864448247,49.85946996917741
Medical City (+online),PHARMACY,"Bakı şəh., 28 May küç.13",,40.37985013213876,49.84381064786602
Metropark yeni,PHARMACY,"Nərimanov r-nu, Təbriz ev 99",,40.39546785693389,49.85882887552666
Mingəçevir/Xəmsə,PHARMACY,"Mingəçevir şəh., H.Əliyev pr. 51 Q",,40.76713323423936,47.054205775545775
Mərdəkan,PHARMACY,Avtovağzal ərazisi,,40.41954955382686,49.79184814342084
Nar,PHARMACY,"Bakı şəhəri, Nərimanov rayonu, Ağa Neymətulla küçəsi 63",,40.406322005441254,49.862783843418256
Naturalist,PHARMACY,"Bakı şəh., Səbail ray., Əhməd Cavad küç. 22 (""MUM""-un yanı.)","(012)492-23-17, (055)-455-85-37",40.369071,49.829926
Nefron,PHARMACY,"Bakı şəh., Əhməd Cavad küç. ev 32, mən. 2",,40.369071158539406,49.82954007552532
Neftçilər ATS,PHARMACY,Mehti Mehtizadə və Yusif Səfərov küç-nin kəs.,"(012)489-51-84(85), (055)-455-88-01",40.382506,49.861725
Nizami,PHARMACY,"Yasamal ray.S.Esgerova ev 79,m22 (Nizami metrosunun sağ tərəfdən çıxışında)","(012)-596-72-88 , 055-455-81-44",40.37878586587139,49.82802031476109
Nur,PHARMACY,"Bakı şəh., .Xətai ray., Xocalı pr. ev 34",,40.38349215766231,49.873528775526104
Nəsir,PHARMACY,"Bakı şəh., Nərimanov ray., Asif Məmmədov 30 D",,40.39431095700438,49.878438575526594
Nəsir Aptek,PHARMACY,"Nərimanov ray., A.Məmmədov küç. ev 30D",,40.40813996607108,49.85495464653425
Okean,PHARMACY,"Bakı şəhəri, Yasamal ray., B.Bağırova küç.14",,40.38423018594608,49.82484068871793
Oskar,PHARMACY,"Bakı şəh., Binəqədi ray., Mir Cəlal küç. 72",,40.41714855561453,49.8046057755277
Premium Aptek ( keçmiş Torqoviy Aptek),PHARMACY,"Bakı şəh.,Səbail ray. Z.Əliyeva küç. 29",,40.371052458418895,49.84133587552546
Primorsk-1,PHARMACY,"Sahil qəs., Məhərrəm Seyidov küç.",,40.22865986706519,49.57753817559375
Primorski-2,PHARMACY,"Sahil qəs., Z. Qasimov küç. ev 24",,40.222284067451824,49.569759975517705
Qazax-2,PHARMACY,H.Eliyev kucesi 71 (Keçmiş böyük xəstəxana ile üzbəüz),"(022)295-13-13, 055-455-81-69",41.09488300669963,45.34792099422358
Quba-1,PHARMACY,Tofiq Əhmədov küç. Bazar ərazisi,"(023)33-5-46-84, 055-455-90-83",41.361323005574555,48.527663314796065
Quba-2,PHARMACY,Heydər Əliyev pr. (Avtovağzal ərazisi),,40.41045110602224,49.892761775527376
Qusar-1,PHARMACY,Səfixan küç. Bazarin yani,"(023)38-5-57-64, 055-455-90-92",41.43192500119703,48.44073831479849
Qəbələ,PHARMACY,"Qəbələ şəh., H. Əliyev pr.",055-455-91-75,40.984804551434664,47.81977947322225
Razin Yeni,PHARMACY,"Bakı şəh., Sabunçu ray., Bakıxanov qəs., Gənclər küç. ev 27 C (İcra hakimiyyətinin yanı)","012-428-96-03, 055-455-81-72",40.41825,49.964234
Retro,PHARMACY,"Xəzər r-nu, Buzovna ŞTQ. Sabir ev 22A",,40.520214436169404,50.103276202636515
Şirvan,PHARMACY,"Şirvan şəh., Fariz Eynullayev küç.",,39.91850987663325,48.922116775163424
Sumqayıt,PHARMACY,H.Əliyev pr./məhəllə 40,,40.581418584039454,49.67346299345431
Sumqayit,PHARMACY,H.Əliyev pr./məhəllə 40,"(018)-644-09-29, 055-455-89-00",40.57635595384089,49.684460414768026
Sunterra,PHARMACY,Bakı şəh. Xətai ray. Sarayevo küç. ev 18,,40.385721407526795,49.954628625526134
Şəki,PHARMACY,"Məmmədəmin Rəsulzadə prospekti, Mərkəzi Xəst-nin qarşısı","024-24-4-39-56, 055-455-89-63",41.200293,47.173882
Səma,PHARMACY,"Bakı şəh., Binəqədi ray., Ş.Məmmədova 6 E (Röya şadlıq sarayı ilə üzbəüz,Oazis şadlıq sarayının yanı.)","(012)562-61-16 , (055)-455-85-46",40.425014,49.826154
Səməd Vurğun,PHARMACY,Səməd Vurğun 108,"(012)4415646, 055-455-81-73",40.393763,49.83244
Tonus,PHARMACY,"Bakı şəh., Səbail ray., Bülbül pr., ev.7 (Sahil metrosunun cıxışında.)","(012)-598-52-79, (055)-455-85-36",40.37316,49.841967
Torqoviy,PHARMACY,"Səbail r-nu, Nizami 98","(012)493-11-12, 055-455-81-75",40.371118966337725,49.83450931449086
Urologiya,PHARMACY,"Səbail, İstiqlaliyyət küç, ev.49, m 6",.,40.368335,49.830484
Urologiya,PHARMACY,"Səbail R-Nu, Əhməd Cavad 20","(012)492-89-78, 055-455-85-71",40.369262,49.83114500000001
Viktoriya,PHARMACY,Baki şəh. Təbriz küç. 17,"(012)541-05-21, (055)-455-85-64",40.383553,49.84760500000001
Vita bayıl,PHARMACY,"Səbail ray., Ə.Yaqubov küç. 6",,40.340671860265736,49.83452387552381
Vita Yasamal Lider,PHARMACY,"Yasamal ray., Akademik Ş. Mehdiyev küç. 97",,40.393035057081896,49.81301107552655
Vita Əhmədli,PHARMACY,"Xətai ray., Əhmədli qəs., M. Rüstəmov küç. 22",,40.38214083838915,49.94513910627713
Vitamin,PHARMACY,"Bakı şəhəri, Nəsimi rayonu, H.Əliyev ev.4, mən.18","(012)430-00-14, (055)-455-87-85",40.39477,49.714874
Xalqlar Dostluğu,PHARMACY,Xalqlar m/s-nun çıxışı (Qara Qarayev pr. 126 binanın arxası),(77) 255-5764,40.39764497936732,49.95026931505393
