name,type,address,phone,latitude,longitude,city,region_category,source
Zeytun metro 28 May,PHARMACY,"Bakı şəh., Nəsimi ray., Puşkin küç.",+994502735410,40.37971543,49.84893561,Bakı,Bakı,Pasha Insurance
Aloe KFC,PHARMACY,"Bakı şəh., Yasamal ray., М. Şərifzadə küç.,125 A",+994992044413,40.38912263,49.80289939,Bakı,Bakı,Pasha Insurance
Kanon Lənkəran,PHARMACY,"Lənkəran şəh., H.Aslanov küç., (Xiyabanın yanı)",+994554558569,38.75478404,48.85219382,Lənkəran,Region,Pasha Insurance
Aloe Buzovna,PHARMACY,"Bakı şəh., Buzovna qəs., R. İmanov küç., 24",+994992044412,40.52760395,50.09816446,Bakı,Bakı,Pasha Insurance
Aloe Gənclik Mall,PHARMACY,"Bakı şəh., Nərimanov ray., F.X. Xoyski pr.,14",+994552043399,40.39995706,49.85303703,Bakı,Bakı,Pasha Insurance
100 Aptek,PHARMACY,"Bakı şəh ,Nizami ray., Q.Qarayev pr., 74H",+994555054867,40.40953047,49.94333401,Bakı,Bakı,Pasha Insurance
Zeytun 313 Primorsk,PHARMACY,"Bakı şəh., Qaradağ ray.,Sahil qəs., E.Quliyev küç., 50",+994773761010,40.22507658,49.58006988,Bakı,Bakı,Pasha Insurance
BUTA Xətai,PHARMACY,"Bakı şəh., Xətai ray., Xocalı pr., 29",+994124892602,40.38299002,49.87009688,Bakı,Bakı,Pasha Insurance
Kanon Qöncə 160 Gəncə,PHARMACY,"Gəncə şəh., Kəpəz ray., Ş.İ.Xətai pr. ilə Atatürk pr. kəsişməsi",+994554558549,40.6976943,46.36121124,Bakı,Bakı,Pasha Insurance
Zəfəran Mərdakən,PHARMACY,"Bakı şəh., Xəzər ray., Mərdəkan qəs., S.Yesenin küç., 614",+994554559078,40.4869905,50.16462307,Bakı,Bakı,Pasha Insurance
Səma Aptek,PHARMACY,"Bakı şəh., Binəqədi ray., 8-ci mkr., Ş.Məmmədova küç., ev 6E",+994554558546,40.42160361,49.84642317,Bakı,Bakı,Pasha Insurance
Dokta 842 Mingəçevir,PHARMACY,"Mingəçevir şəh., A.Məmmədov küç., 4A",+994555078597,40.7544244,47.06441331,Mingəçevir,Region,Pasha Insurance
Zəfəran Şirvan,PHARMACY,"Şirvan şəh., N.Nərimanov pr., 2A",+994554558747,39.9520136,48.9391757,Bakı,Bakı,Pasha Insurance
Lutemax,PHARMACY,"Bakı şəh., Yasamal ray., Şərifzadə küç., 100",+994554558538,40.38390982,49.80393363,Bakı,Bakı,Pasha Insurance
Aptek Buta-50 Lökbatan,PHARMACY,"Bakı şəh., Qaradağ ray., Lökbatan qəs., İntiqam Nəbiyev küç., 33",+994552041252,40.32473729,49.74111363,Bakı,Bakı,Pasha Insurance
Darçın Lider TV,PHARMACY,"Bakı şəh., Yasamal ray., A.Abbasov küç., 22",+994992078809,40.38602347,49.81525802,Bakı,Bakı,Pasha Insurance
Kanon Qazax-1,PHARMACY,"Qazax şəh., H.Əliyev pr., 114 A",+994554558168,41.09269255,45.36619124,Qazax,Region,Pasha Insurance
Zəfaran 535 Şəki,PHARMACY,"Şəki şəh., M.Rəzulzadə pr.,711",+994554558963,41.19718646,47.17536542,Şəki,Region,Pasha Insurance
Vita Binə 60,PHARMACY,"Bakı şah., Xəzər ray., Binə qəs., Ə.İsazadə küç.
(BazarStore-un yanı)",+994125561739,40.45050458,50.08781063,Bakı,Bakı,Pasha Insurance
Darçın M.Müşfiq,PHARMACY,"Bakı şəh., Yasamal ray., M.Müşfiq küç., 10",+994992078802,40.36524077,49.81985767,Bakı,Bakı,Pasha Insurance
5+ Aptek,PHARMACY,"Bakı şəh., Yasamal ray., Ş.Qurbanov küç., 2/5",+994555152729,40.37641158,49.83233578,Bakı,Bakı,Pasha Insurance
Pharma Store Olimp,PHARMACY,"Bakı şəh., Yasamal ray.,Ə.Ələkbərov küç.,5",+994502517888,40.37981471,49.81913775,Bakı,Bakı,Pasha Insurance
Darçın Neftçilər xəstəxanası,PHARMACY,"Bakı şəh., Nizami ray., H.Salmani küç., 1/1",+994992078860,40.380924,49.862648,Bakı,Bakı,Pasha Insurance
Dokta-804 Sumqayıt,PHARMACY,"Sumqayıt şəh., 17-ci mkr, M. Əsədov küç.",+99455 9914797,40.56029551,49.69840037,Sumqayıt,Region,Pasha Insurance
Buta-22 Şamaxinka,PHARMACY,"Bakı şəh. Nəsimi r-nu, Moskva pr., 58A",+994124316293,40.40624813,49.80699462,Bakı,Bakı,Pasha Insurance
Vita Yasamal,PHARMACY,"Bakı şəh., Yasamal ray., Ş. Mehdiyev küç., ev 97",+994125330476,40.39265623,49.81500853,Bakı,Bakı,Pasha Insurance
İMMUN Goranboy,PHARMACY,"Goranboy şəh,H.Əliyev pr., 50",+994702452112,40.60429312,46.78415902,Goranboy,Region,Pasha Insurance
Aloe Azza Street Retail,PHARMACY,"Bakı şəh., Nəsimi ray., R.Behbudov küç., 52",+994552047766,40.37628619,49.84574418,Bakı,Bakı,Pasha Insurance
Pharma Store Koala Park,PHARMACY,"Bakı şəh., Nəsimi ray., Azadlıq pr., 153B",+994512501939,40.39108963,49.84174296,Bakı,Bakı,Pasha Insurance
Zeytun metro N. Nərimanov 1,PHARMACY,"Bakı şəh., Nərimanov ray., Təbriz küç.(metronun içi- Metropark çıxışı)",+994502731197,40.40323658,49.87128845,Bakı,Bakı,Pasha Insurance
Buta-62 Nardaran yolu,PHARMACY,Bakı şəh. Sabunçu ray. Maştağa qəs. Seyid İbadağa küç. Ev 1A,+994124554072,40.53360324,50.00193894,Bakı,Bakı,Pasha Insurance
Buta Gəncə 7450,PHARMACY,Gəncə şəh. Nizami ray. Ə.Mehmandarov küç. (Araz marketin yanı),+994556797365,40.67511304,46.33432752,Bakı,Bakı,Pasha Insurance
Dokta 859 Zaqatala,PHARMACY,"Zaqatala şəh., Zərifə Əliyeva parkı",+994503362704,41.62905741,46.64287606,Zaqatala,Region,Pasha Insurance
Günəbaxan,PHARMACY,"Bakı şəh., Yasamal ray., B.Vahabzadə küç., 5",+994554555638,40.3753653,49.81219317,Bakı,Bakı,Pasha Insurance
Zeytun metro Gənclik 2,PHARMACY,"Bakı şəh., Nərimanov ray., F.X. Xoyski pr. (metronun içi- McDonald's çıxışı)",+994502731194,40.40014,49.850528,Bakı,Bakı,Pasha Insurance
Zeytun metro Qara Qarayev 1,PHARMACY,"Bakı şəh., Nizami ray., Q.Qarayev pr. (metronun içi-Panda Kids çıxışı)",+994502731190,40.41763273,49.93309161,Bakı,Bakı,Pasha Insurance
Zəfəran Primorsk-1,PHARMACY,"Bakı şəh., Qaradağ ray., Sahil qəs., M.Seyidov küç., 24",+994554559093,40.22947879,49.5819599,Bakı,Bakı,Pasha Insurance
Kanon Zəfər Bərdə,PHARMACY,"Bərdə şəh., Ü.Hacıbəyov küç.,12",+994559007525,40.37448313,47.12270731,Bərdə,Region,Pasha Insurance
ROWALUX,PHARMACY,"Bakı şəh., Xətai ray., M.Hadi küç., 65K",+994559510993,40.37404954,49.95400986,Bakı,Bakı,Pasha Insurance
Vita - Hövsan,PHARMACY,"Bakı şəh., Suraxanı ray., Hövsan qəs., Hafiz Quliyev küç., 24 (Hövsan Mall yaxınlığında)",+99412457388,40.36024176,50.07776497,Bakı,Bakı,Pasha Insurance
Darçın BSM,PHARMACY,"Bakı şəh., Nəsimi ray., N.Yusifbeyli küç., 90 a",+994992078817,40.39805333,49.83927907,Bakı,Bakı,Pasha Insurance
Buta 415 Sarayevo,PHARMACY,"Bakı şəh., Xətai ray., Sarayevo küç., 36",+994552065869,40.38660182,49.96280818,Bakı,Bakı,Pasha Insurance
Aloe Əhmədli 2 (Sarayevo),PHARMACY,"Bakı şəh., Xətai ray., Sarayevo küç., 18C",+994992044404,40.38628422,49.95883229,Bakı,Bakı,Pasha Insurance
Zeytun metro Neftçilər 1,PHARMACY,"Bakı şəh., Nizami ray., Q.Qarayev pr. (metronun içi- McDonald's çıxışı)",+994502731193,40.41038209,49.94348399,Bakı,Bakı,Pasha Insurance
Zəfəran Cəlilabad,PHARMACY,"Cəlilabad şəh., Bakı-Astara şosesi",+994252453838,39.22500767,48.51994053,Bakı,Bakı,Pasha Insurance
Aloe Badamdar,PHARMACY,"Səbail ray., Badamdar qəsəbəsi,1-ci yaşayış massivi,Badamdar şossesi 5 (Caspian İnternational Hospital yaxınlığı)",+994992044484,40.34277285,49.81014995,Bakı,Bakı,Pasha Insurance
Zəfəran 20 Yanvar,PHARMACY,"Bakı şəh., Yasamal ray., Zərdabi pr. ilə M.Həsənov küç. kəsişməsi, məh. 3165 (Azərsu ilə üzbəüz)",+994554556951,40.40408904,49.80633186,Bakı,Bakı,Pasha Insurance
Buta Bayıl 2,PHARMACY,"Bakı şəh., Səbail ray., Ə.Yaqubov küç., 6",+994552080086,40.34087697,49.83679582,Bakı,Bakı,Pasha Insurance
Universal Pharma,PHARMACY,"Bakı şəhəri, Yasamal rayonu, İsmayılbəy Qutqaşınlı küçəsi, 50",+994773333030,40.37,49.82,Bakı,Bakı,Pasha Insurance
Vita Əcəmi 1,PHARMACY,"Bakı şəh., M.Cəfərov küç., ev 16",+994555054847,40.40913084,49.81310857,Bakı,Bakı,Pasha Insurance
Aloe Bravo Şəmkir,PHARMACY,"Şəmkir şəh., Bakı-Qazax şossesinin sağ kənarı, 1 (Bravo marketin içində)",+994552137744,40.85358573,46.03088054,Bakı,Bakı,Pasha Insurance
Kaspian 24/7,PHARMACY,"Bakı şəh., Səbail ray., Bülbül pr., 16",+994513330407,40.37185042,49.84493362,Bakı,Bakı,Pasha Insurance
Zəfəran BALZAM,PHARMACY,"Xırdalan şəh., M.Ə.Rəsulzadə küç., B1",+994554558126,40.45337382,49.75049663,Absheron,Bakı,Pasha Insurance
Dokta 597 Bərdə,PHARMACY,"Bərdə şəh., Ü.Hacıbəyov küç., 12",+994515909773,40.37562419,47.11633877,Bərdə,Region,Pasha Insurance
General,PHARMACY,"Bakı şəh., Xətai ray., X.Məmmədov küç., 32A",+994554558107,40.37084383,49.95572082,Bakı,Bakı,Pasha Insurance
British Pharmacy,PHARMACY,"Bakı şəh., Yasamal ray., Tbilisi pr.,147 A",+994125304691,40.40019978,49.810344,Bakı,Bakı,Pasha Insurance
Dokta 875 Fizuli,PHARMACY,"Füzuli şəh., BalaBəhmənli kəndi (yolun üstündə)",+994505799106,39.55703057,47.56206513,Füzuli,Region,Pasha Insurance
Aloe Qala,PHARMACY,"Bakı şəh., Xəzər ray., Qala qəs., Qala küç., 15",+994992044402,40.47500282,50.10980346,Bakı,Bakı,Pasha Insurance
Zeytun 500 Nizami,PHARMACY,"Bakı şəh., Nizami ray., H. Əliyev pr., 119",+994502515149,40.4220677,49.91641047,Bakı,Bakı,Pasha Insurance
Sarğı Aptek,PHARMACY,"Bakı ş., Nəsimi r., Mustafa Topçubaşov 24A",+994993155588,40.39593,49.83515,Bakı,Bakı,Pasha Insurance
Kanon Almaz Xaçmaz,PHARMACY,"Xaçmaz şəh., N.Nərimanov pr., 47",+994554558596,41.46120061,48.79897792,Bakı,Bakı,Pasha Insurance
Pharma Store MUM,PHARMACY,"Bakı şəh., Səbail ray., Azərbaycan pr., 30",+994502517889,40.37321583,49.83301798,Bakı,Bakı,Pasha Insurance
Darçın Binəqədi,PHARMACY,"Bakı şəh., Binəqədi ray., C.Ramazonov küç., ev 2B",+994992078805,40.46766468,49.82819231,Bakı,Bakı,Pasha Insurance
Aloe 28 Mall,PHARMACY,"Bakı şəh., Nəsimi ray., Azadlıq pr., 15a/4",+994552043311,40.37904703,49.84733825,Bakı,Bakı,Pasha Insurance
Darçın Yasamal,PHARMACY,"Bakı şəh., Yasamal ray., Şərifzadə 273",+994992078804,40.38871796,49.80261187,Bakı,Bakı,Pasha Insurance
Kanon Bəyaz Gəncə,PHARMACY,"Gəncə şəh., Kəpəz ray., Ş.İ.Xətai pr. ilə V.Xulufu küç. kəsişməsi",+994554558127,40.69187284,46.38095432,Bakı,Bakı,Pasha Insurance
Qusar Dokta 1022,PHARMACY,"Qusar şəh., Şərifov küç., 6",+994552956646,41.43070042,48.44116804,Qusar,Region,Pasha Insurance
Kanon Əhmədli,PHARMACY,"Bakı şəh., Xətai ray., M.Hadi küç., 41",+994554558578,40.38402235,49.9545842,Bakı,Bakı,Pasha Insurance
Vita Ramana 97,PHARMACY,"Bakı, Sabunçu ray., Ramana qəs., Dadaş Bünyadzadə, Bina 40E",+994124513766,40.44228096,49.9748377,Bakı,Bakı,Pasha Insurance
Kanon Quba 2,PHARMACY,"Quba şəh., H.Əliyev pr.",+994554558850,41.36192395,48.52421812,Quba,Region,Pasha Insurance
Kanon 100 Semaşko,PHARMACY,"Bakı şəh., Nəsimi ray., M.Mirqasımov küç., 2",+994554558539,40.39433047,49.83492203,Bakı,Bakı,Pasha Insurance
BUTA 42 Fresko,PHARMACY,"Bakı şəh., Nəsimi ray., Nizami küç., 129",+994124981592,40.37723732,49.85246135,Bakı,Bakı,Pasha Insurance
Dədəmin,PHARMACY,"Gəncə şəh., M.Abbas Abbaszadə küç., (Kukla Teatrın yaxınlığında)",+994503972424,40.66923861,46.36397042,Gəncə,Region,Pasha Insurance
Buta 405 Quba,PHARMACY,"Quba şəh., H.Əliyev pr., 228A",+994503358981,41.36186405,48.52509945,Quba,Region,Pasha Insurance
Buta 384,PHARMACY,"Şəki şəh., Məmmədəmin Rəsulzadə pros., 864",+994553008197,41.19768401,47.17606916,Şəki,Region,Pasha Insurance
Zəfəran Primorsk-2,PHARMACY,"Bakı şəh., Qaradağ ray., Sahil qəs., Z.Qasımov pr., 24",+994554558167,40.22486278,49.57697337,Bakı,Bakı,Pasha Insurance
Buta116 Metropark,PHARMACY,"Bakı şəh., Nərimanov ray., Təbriz küç., 99",+994558055550,40.40407355,49.87301192,Bakı,Bakı,Pasha Insurance
Zeytun Qəbələ 10,PHARMACY,"Qəbələ şəh., H.Əliyev pr., İ.B.Qutkaşınlı küç., 62A",+994709663659,40.98184872,47.84937004,Qəbələ,Region,Pasha Insurance
Darçın Asan Xidmət 3,PHARMACY,"Bakı şəh., Yasamal ray., N.Hikmət küç., 24",+994992078810,40.37932651,49.804757,Bakı,Bakı,Pasha Insurance
Medical,PHARMACY,"Bakı şəh., Nərimanov ray., Ə.Rəcəbli küç., 1/11",+994554555820,40.40919841,49.86263062,Bakı,Bakı,Pasha Insurance
NUR,PHARMACY,"Bakı şəh., Xətai ray., Xocalı pr., 34A",+994554559157,40.38208697,49.86921112,Bakı,Bakı,Pasha Insurance
Zəfəran Sumqayıt,PHARMACY,"Sumqayıt şəh., H.Əliyev pr., məh. 40",+994554558900,40.58379819,49.67317409,Sumqayıt,Region,Pasha Insurance
Buta 7458,PHARMACY,"Gədəbəy ray., H.Əliyev pr., 1A",+994557100533,40.57395909,45.8072784,Bakı,Bakı,Pasha Insurance
Dokta 1020 Xaçmaz,PHARMACY,"Xaçmaz şəh., N. Nərimanov küç., 58G",+994233257823,41.46198715,48.79938065,Bakı,Bakı,Pasha Insurance
Darçın Xırdalan,PHARMACY,"Abşeron ray., H.Əliyev pr., ev C",+994992078816,40.45676538,49.73509462,Absheron,Bakı,Pasha Insurance
Zeytun metro N. Nərimanov 2,PHARMACY,"Bakı şəh., Nərimanov ray., Təbriz küç.(Life-centre çıxışı)",+994502731196,40.40212419,49.86960026,Bakı,Bakı,Pasha Insurance
Dokta 50 Şəki,PHARMACY,"Şəki şəh., M.Ə.Rəsulzadə ilə H.Əliyev küçələrinin kəsişməsi",+994556204131,41.20373139,47.17906594,Şəki,Region,Pasha Insurance
NEFRON,PHARMACY,"Bakı şəh., Səbail ray., Ə.Cavad küç., 21",+994554555631,40.36947575,49.833915,Bakı,Bakı,Pasha Insurance
Pharma Store Səhiyyə Nazirliyi,PHARMACY,"Bakı şəh., Nəsimi ray., Mərdanov qardaşları küç., 100A",+994512074674,40.39242171,49.83297618,Bakı,Bakı,Pasha Insurance
Dokta 978 Biləsuvar,PHARMACY,"Biləsuvar şəh., H.Əliyev küç.",+994103164916,39.45896369,48.54236469,Biləsuvar,Region,Pasha Insurance
Vita Zabrat 3,PHARMACY,"Bakı şəh., Sabunçu ray., Zabrat qəs., Babək küç. 94A (Ayxan marketin yanı)",+994125151763,40.47526299,49.94974184,Bakı,Bakı,Pasha Insurance
Darçın M.Qaşqay,PHARMACY,"Bakı şəh., Nəsimi ray., M.Qaşqay küç., 63A",+994992078803,40.39258922,49.84306425,Bakı,Bakı,Pasha Insurance
Kanon Qazax-2,PHARMACY,"Qazax şəh., H.Əliyev pr., 175",+994554558169,41.09268913,45.36619201,Qazax,Region,Pasha Insurance
Aloe AFF Business Center,PHARMACY,"Nəsimi r-nu, Nizami küç., 705-ci məhəllə, ev 129E",0992044434,40.37659,49.8417,Bakı,Bakı,Pasha Insurance
Aloe + Onlayn Aptek,PHARMACY,Mobil tətbiqi indi yüklə və 7/24 onlayn çatdırımadan faydalan!,+994102657777,,,Bakı,Bakı,Pasha Insurance
Onlayn Darçın,PHARMACY,Həmin gün çatdırılması üçün: Sifariş vaxtı: 08:00-14:00 - həmin gün 14:00-21:00 kimi çatdırılacaq Növbəti gün çatdırılması üçün: Sifariş vaxtı: 14:00-21:00 - sonrakı gün 14:00-21:00 kimi çatdırılacaq,+994992078817,,,Bakı,Bakı,Pasha Insurance
Onlayn Kaspian,PHARMACY,"Həmin gün çatdırılması üçün: Sifariş vaxtı: 09:00-14:00 - həmin gün 14:00-20:00 kimi çatdırılacaq
Növbəti gün çatdırılması üçün: Sifariş vaxtı: 14:00-21:00 - sonrakı gün 10:00-21:00 kimi çatdırılacaq",+994513330407,,,Bakı,Bakı,Pasha Insurance
Onlayn Medical City,PHARMACY,"Həmin gün çatdırılması üçün: Sifariş vaxtı: 09:00-15:00 - həmin gün 14:00-23:00 kimi çatdırılacaq
Növbəti gün çatdırılması üçün: Sifariş vaxtı: 15:00-23:00 - sonrakı gün 09:00-18::00 kimi çatdırılacaq",+994705942505,40.409264,49.8670924,Bakı,Bakı,Pasha Insurance
DÖVLƏT TİBBİ-SOSİAL EKSPERTİZA VƏ REABİLİTASİYA AGENTLİYİ,CLINIC,Bakı şəh. Mirmahmud Kazımovski küç. 37,+994125684625,40.42,49.82,Bakı,Bakı,Pasha Insurance
Zəfər Tibb Mərkəzi,CLINIC,Akademik Şəfayət Mehdiyev küç. 129,+994512906611,40.38,49.82,Bakı,Bakı,Pasha Insurance
Olimp Hospital,CLINIC,"8-10 İnşaatçılar prospekti, Bakı",*2100,40.37587,49.82037,Bakı,Bakı,Pasha Insurance
MTN Hospital (DTX hospitalı),CLINIC,"Bakı şəh., Səbail ray., Badamdar qəs., Məktəbli küç., 1",+994124057911,40.3389919,49.803095,Bakı,Bakı,Pasha Insurance
Medika Hospital,CLINIC,"Bakı şəh., Xətai ray., N.Tusi küç., 22",+994553698707,40.36889263,49.96264522,Bakı,Bakı,Pasha Insurance
Yeni Gəncə Tibb Mərkəzi (Gəncə şəhəri),CLINIC,"Gəncə şəh., Yeni Gəncə qəs., 28 May küç., 23",+994102308041,40.6852427,46.3317113,Gəncə,Region,Pasha Insurance
Modern Hospital,CLINIC,"Bakı şəh., Nizami ray., Babək pr., 85K",+994554910949,40.39550586,49.94819867,Bakı,Bakı,Pasha Insurance
MİTRİ (Milli İdman Tibb və Reabilitasiya İnstitutu),CLINIC,"Bakı şəh., Nərimanov ray., Olimpiya küç., 4A",+994124048310,40.3989291,49.8554662,Bakı,Bakı,Pasha Insurance
EL LAB Klinikası,CLINIC,"Bakı şəh., Nərimanov ray., Aşıq Molla Cümə küç., 44",+994553105204,40.40800551,49.85996146,Bakı,Bakı,Pasha Insurance
Mərkəzi Klinika ambulator (MKX),CLINIC,"Bakı şəh., Səbail ray., Z.Əliyeva küç., 5",+994124921092(ext.8102),40.36867297,49.83924039,Bakı,Bakı,Pasha Insurance
Şirvan Şəhər Mərkəzi Xəstəxanası,CLINIC,Şirvan şəh. Nəriman Nərimanov küçəsi.,(+994) 21 215-03-58,39.95217,48.93691,Bakı,Bakı,Pasha Insurance
HB Güvən klinikası,CLINIC,"Bakı şəh., Binəqədi ray., Atatürk pr., 3078 ilə Ə.Naxçıvani küç. kəsişməsi",+994706677725,40.4165842,49.8445817,Bakı,Bakı,Pasha Insurance
Kəpəz Hospital,CLINIC,"Bakı şəh., Nəsimi ray., C.Məmmədquluzdə küç., 101A",+994559900547,40.39799219,49.82649491,Bakı,Bakı,Pasha Insurance
Mingeçevir Nərgiz Klinikası,CLINIC,"Mingəçevir şəh., M.Maqomayev pr., 81B",+994503587447,40.76696992,47.04492807,Mingəçevir,Region,Pasha Insurance
Nəbz Tibb Mərkəzi,CLINIC,"Bakı şəh., Nizami ray., Q.Qarayev pr., 31",+994513200909,40.41772518,49.93547196,Bakı,Bakı,Pasha Insurance
AVICENNA Medical Center Lənkaran,CLINIC,"Lənkaran şəh., S.Bayramov küç., 19",+994507203233,38.75399882,48.85605364,Lənkaran,Region,Pasha Insurance
"36,6 MED",CLINIC,"Gəncə şəh., Kəpəz ray., Atatürk pr., 120B",+994515926366,40.69299165,46.36016102,Gəncə,Region,Pasha Insurance
Vital Klinika,CLINIC,"Bakı şəh., Yasamal ray., Yeni Yasamal, D.Bünyatzadə küç., 1.",+994503122312,40.38813012,49.79267563,Bakı,Bakı,Pasha Insurance
